"","model","estimator","k_obs","k_estimate"
"1","fa_orthogonal","bic",2,2
"2","fa_orthogonal","kaiser_guttman",8,8
"3","fa_orthogonal","parallel_analysis",7,6
"4","fa_orthogonal","rmsea",7,7
"5","fa_orthogonal","ega",NA,NA
"6","fa_orthogonal","vss",15,14
"7","fa_orthogonal","map",1,1
