"","model","estimator","k_obs","k_estimate"
"1","fa_orthogonal","bic",1,1
"2","fa_orthogonal","kaiser_guttman",6,7
"3","fa_orthogonal","parallel_analysis",5,5
"4","fa_orthogonal","rmsea",4,4
"5","fa_orthogonal","ega",5,NA
"6","fa_orthogonal","vss",5,6
"7","fa_orthogonal","map",5,5
