"","model","estimator","k_obs","k_estimate"
"1","fa_orthogonal","bic",3,3
"2","fa_orthogonal","kaiser_guttman",4,5
"3","fa_orthogonal","parallel_analysis",3,3
"4","fa_orthogonal","rmsea",3,3
"5","fa_orthogonal","ega",3,3
"6","fa_orthogonal","vss",4,4
"7","fa_orthogonal","map",3,3
