"","model","estimator","k_obs","k_estimate"
"1","fa_orthogonal","bic",4,4
"2","fa_orthogonal","kaiser_guttman",4,4
"3","fa_orthogonal","parallel_analysis",4,4
"4","fa_orthogonal","rmsea",4,4
"5","fa_orthogonal","ega",4,4
"6","fa_orthogonal","vss",10,9
"7","fa_orthogonal","map",4,4
