"","model","estimator","k_obs","k_estimate"
"1","fa_orthogonal","bic",6,6
"2","fa_orthogonal","kaiser_guttman",10,9
"3","fa_orthogonal","parallel_analysis",8,8
"4","fa_orthogonal","rmsea",7,6
"5","fa_orthogonal","ega",8,7
"6","fa_orthogonal","vss",10,11
"7","fa_orthogonal","map",8,8
