"","model","estimator","k_obs","k_estimate"
"1","fa_orthogonal","bic",1,1
"2","fa_orthogonal","kaiser_guttman",8,7
"3","fa_orthogonal","parallel_analysis",3,3
"4","fa_orthogonal","rmsea",2,1
"5","fa_orthogonal","ega",NA,NA
"6","fa_orthogonal","vss",10,9
"7","fa_orthogonal","map",2,2
