"","model","estimator","k_obs","k_estimate"
"1","fa_orthogonal","bic",1,1
"2","fa_orthogonal","kaiser_guttman",8,8
"3","fa_orthogonal","parallel_analysis",5,3
"4","fa_orthogonal","rmsea",2,1
"5","fa_orthogonal","ega",NA,NA
"6","fa_orthogonal","vss",17,17
"7","fa_orthogonal","map",1,1
